"F0","gender"
38.2380154805589,"M"
50.7645051186584,"M"
101.986072744216,"F"
50.2661497465102,"F"
107.114652119261,"F"
92.4790675181785,"F"
101.023263605009,"F"
85.9179852364007,"F"
54.0524775710368,"M"
48.6333993050154,"M"
100.705795271431,"F"
77.7633840481502,"F"
99.5570226197262,"F"
41.0819836853432,"M"
38.588808316481,"M"
49.7950796750619,"M"
81.1159184653624,"F"
78.060199165888,"F"
32.3253948682165,"M"
110.772770891101,"F"
101.788350591833,"F"
37.8111540846706,"M"
41.8592061232681,"M"
36.565066951136,"M"
36.0284102725201,"M"
69.118768887418,"F"
83.8160536069264,"F"
73.6737619703938,"F"
103.563352569102,"F"
112.132187823009,"F"
36.7829352964738,"F"
60.914424038196,"M"
88.5947739164923,"F"
48.8798646423315,"M"
44.0999483286688,"M"
42.5274634719582,"M"
117.640933789448,"F"
39.0792396638988,"M"
88.187863830234,"F"
57.6297922445858,"F"
37.4340424419546,"M"
28.5753510563473,"M"
109.916355755669,"F"
39.0506804711958,"M"
29.7845403022234,"M"
55.3089848320531,"M"
43.0038659135012,"M"
40.4011099138474,"M"
69.7769730647883,"F"
86.0660937514558,"F"
26.2715599082954,"M"
38.954502249864,"M"
36.8971397522593,"M"
97.4080400128555,"F"
109.821285542604,"F"
75.3478297033627,"F"
24.2250627501949,"M"
60.6972254723386,"F"
35.871064026844,"M"
37.3140208319627,"M"
41.1658969945321,"M"
94.2354594354678,"F"
43.8723282367332,"M"
117.307284650082,"F"
11.3102594028151,"M"
87.4545637251196,"F"
37.3714098017281,"M"
50.3539107948255,"M"
107.265363861609,"F"
36.4595805303969,"M"
54.2869760799386,"F"
104.233328874162,"F"
52.7009455865131,"M"
41.6371557962633,"M"
130.578349445351,"F"
37.0911593878079,"M"
161.450252508081,"F"
26.8481420697739,"M"
37.4092737177097,"M"
93.0836402037079,"F"
34.796037673072,"M"
42.3296525309321,"M"
37.3742226817876,"M"
93.31158052657,"F"
100.49098908477,"F"
51.4585120233106,"M"
96.054149523039,"F"
37.7513439367053,"M"
125.661651861406,"F"
47.6456686473682,"M"
122.197664651687,"F"
50.886707082393,"M"
31.8195253632191,"M"
74.1478632542908,"F"
78.788325523032,"F"
37.9940506853014,"M"
90.7805215499812,"F"
101.537630170943,"F"
42.8934548109121,"M"
46.6782570572161,"M"
46.6911907449423,"F"
68.0130060713214,"F"
38.7551782453453,"M"
80.9285521789494,"F"
94.9821667172088,"F"
42.4885372014594,"M"
101.289478242677,"F"
51.3392994506039,"M"
43.7307399869714,"M"
82.5002296345195,"F"
114.514414936507,"F"
78.6063727203603,"F"
90.7878838872171,"F"
110.149011103585,"F"
54.8172767986181,"M"
38.5980889527142,"M"
22.3039874838166,"M"
50.9503998548009,"M"
97.9670573354008,"F"
39.7982191196396,"M"
52.712315384597,"M"
47.1217501006328,"M"
100.250036817672,"F"
65.7858547163736,"F"
62.3639091296123,"F"
98.2174597331947,"F"
39.3701476141856,"M"
70.9861911845832,"F"
63.5484820729134,"F"
100.574518379097,"F"
40.8482461629923,"F"
52.8610124134578,"F"
81.4103660116452,"F"
33.0197832644913,"M"
86.365259452543,"F"
66.2296123885878,"F"
83.987490765401,"F"
42.0127470273067,"M"
70.3491722406575,"F"
117.551174925066,"F"
92.9656156629112,"F"
86.920704986537,"F"
86.6974897148015,"F"
44.1354039503675,"M"
34.5959670343926,"M"
101.461475654635,"F"
53.8898611050561,"M"
63.879499489459,"F"
22.5987345575329,"M"
113.429605481864,"F"
53.3581526264382,"M"
129.63655737288,"F"
109.930876141172,"F"
90.3996820972821,"F"
51.2633561781646,"M"
49.0297330354748,"F"
51.419413999267,"M"
81.3527913708415,"F"
123.364759299475,"F"
73.0825568139707,"F"
49.7480443516557,"M"
40.3237796388358,"M"
29.6269006387546,"M"
111.539133478194,"F"
35.670982333417,"M"
108.341354068934,"F"
102.482420265575,"F"
94.272106265432,"F"
95.5975001655462,"F"
53.435537337757,"F"
111.013074132015,"F"
89.6346200641207,"F"
51.0523929992997,"M"
48.188837627699,"M"
106.908959620753,"F"
25.2453248877138,"M"
70.2751026236974,"F"
84.3262355714972,"F"
79.9766448744284,"F"
140.751787922527,"F"
